model,C,solver,penalty,AUC,Brier,LogLoss,n_estimators,max_depth,learning_rate,subsample
XGBoost,,,,0.6190091804577944,0.2591320245795951,0.7367818303308674,250.0,20.0,0.05,0.9
XGBoost,,,,0.6130613117443899,0.28220041556936404,0.8383076024810137,250.0,20.0,0.1,0.8
XGBoost,,,,0.6129031971063631,0.27929788994743493,0.8248589906722777,250.0,20.0,0.1,0.9
XGBoost,,,,0.657004489984153,0.229796029576003,0.6505015703920914,500.0,5.0,0.05,0.8
XGBoost,,,,0.6560372360450493,0.22964754011047178,0.6501379933610195,500.0,5.0,0.05,0.9
XGBoost,,,,0.6547424440462759,0.2323352651772128,0.6569630330361591,500.0,5.0,0.1,0.8
XGBoost,,,,0.6553240277779411,0.23250964881453495,0.6571979223583111,500.0,5.0,0.1,0.9
XGBoost,,,,0.6390769895321938,0.24066072756905063,0.6784376884394535,500.0,10.0,0.05,0.8
XGBoost,,,,0.6396869236539949,0.24074395442331623,0.6787301136298246,500.0,10.0,0.05,0.9
XGBoost,,,,0.628427733000158,0.2517653481280619,0.7145713924562096,500.0,10.0,0.1,0.8
XGBoost,,,,0.6295834838229983,0.25163112129691984,0.7154993896903672,500.0,10.0,0.1,0.9
XGBoost,,,,0.6215700341645853,0.2610771344629697,0.7465813308633159,500.0,15.0,0.05,0.8
XGBoost,,,,0.6228691325207087,0.2593743272104708,0.7401968144825588,500.0,15.0,0.05,0.9
XGBoost,,,,0.6140399823098663,0.28304612366056475,0.8531347653922472,500.0,15.0,0.1,0.8
XGBoost,,,,0.611694380294344,0.2831261764834638,0.8454471351214148,500.0,15.0,0.1,0.9
XGBoost,,,,0.6129508881145125,0.2792392248334245,0.8236246520264944,500.0,20.0,0.05,0.8
XGBoost,,,,0.6156362830484128,0.27768708919350565,0.8185330600568553,500.0,20.0,0.05,0.9
XGBoost,,,,0.6084561441743932,0.30227374445945115,0.9674184930847204,500.0,20.0,0.1,0.8
XGBoost,,,,0.6108541013972892,0.29928346221842345,0.9485602903878234,500.0,20.0,0.1,0.9
